name agn_name ra dec lii bii angular_separation error_radius assoc_probability optical_class sed_class redshift photon_flux_limit photon_flux photon_flux_error spectral_index spectral_index_error detection_significance variability_flag curvature_flag note_flag clean_flag type_flag null
"1FGL J1329.2-5605" "PMN J1329-5608" 202.25477 -56.13407 308.18359088 6.35399716 0.055 0.095 1.0 Unknown -999 -999.0 -999 4.1e-09 6e-10 2.56 0.15 15.1 Y N S N L -999
"1FGL J1400.9-5559" "PMN J1400-5605" 210.17407 -56.0821 312.53595475 5.49278392 0.092 0.122 0.99 Unknown -999 -999.0 -999 2.4e-09 5e-10 2.62 0.15 9.1 Y N S N L -999
"1FGL J0543.8-5531" "BZB J0543-5532" 85.98667 -55.53442 263.51378399 -31.475097 0.021 0.057 1.0 BLL HSP -999.0 -999 1.8e-09 3e-10 2.05 0.14 11.5 N N S Y H -999
"1FGL J2258.9-5525" "BZB J2258-5525" 344.57921 -55.42681 330.96431701 -55.10572265 0.09 0.093 0.99 BLL HSP 0.479 < 7e-10 -999.0 1.85 0.38 4.3 N N S Y H -999
"1FGL J0845.0-5459" "PMN J0845-5458" 131.26034 -54.96904 272.31612218 -7.4921166 0.02 0.101 0.99 Unknown -999 -999.0 -999 1.9e-09 4e-10 2.24 0.17 7.7 N N S N L -999
"1FGL J0625.9-5430" "CGRaBS J0625-5438" 96.46771 -54.64739 263.39017008 -25.41877949 0.133 0.244 0.99 FSRQ LSP 2.051 < 9e-10 -999.0 3.0 0.2 5.8 N N S Y H -999
"1FGL J0506.9-5435" "RBS 621" 76.74127 -54.58422 262.42055806 -36.77395176 0.014 0.058 0.0 Unknown -999 -999.0 < 1e-09 -999.0 1.42 0.31 6.7 N N -999 N A -999
"1FGL J1103.9-5355" "PKS 1101-536" 165.96759 -53.95019 287.41769702 5.64962578 0.019 0.041 1.0 Unknown -999 -999.0 -999 6.1e-09 6e-10 2.05 0.19 19.5 Y N S N L -999
"1FGL J2207.8-5344" "PKS 2204-54" 331.93175 -53.77642 339.89720119 -49.92544662 0.043 0.115 1.0 FSRQ LSP 1.206 -999 1.6e-09 3e-10 2.5 0.1 13.1 Y N S Y H -999
"1FGL J0413.4-5334" "CRATES J0413-5332" 63.30629 -53.53361 262.77718347 -44.71227012 0.056 0.054 0.94 FSRQ -999 1.027 -999 2.4e-09 4e-10 2.55 0.08 18.3 Y N S Y H -999
"1FGL J0157.0-5259" "RBS 259" 29.23839 -53.03285 282.19949182 -61.37848029 0.049 0.1 0.0 Unknown -999 -999.0 -999 8e-10 2e-10 1.85 0.2 7.6 N N -999 N A -999
"1FGL J1327.0-5257" "PMN J1326-5256" 201.70512 -52.9399 308.32436376 9.56098971 0.04 0.061 1.0 Unknown -999 -999.0 -999 5.2e-09 6e-10 2.33 0.11 19.2 Y N S N L -999
"1FGL J0209.3-5229" "BZB J0209-5229" 32.33983 -52.48978 278.36623496 -60.76238381 0.001 0.053 1.0 BLL HSP -999.0 -999 2.1e-09 3e-10 2.01 0.12 13.3 N N S Y H -999
"1FGL J2222.5-5218" "BZB J2221-5225" 335.37242 -52.42375 340.37178796 -52.37632555 0.208 0.197 0.96 BLL HSP -999.0 -999 7e-10 2e-10 1.99 0.21 4.4 N N S Y H -999
"1FGL J0315.6-5109" "AT20G J0314-5104" 48.60733 -51.07547 264.33555339 -53.95632374 0.218 0.314 0.0 BLL -999 -999.0 -999 7e-10 3e-10 2.6 0.2 6.0 N N -999 N A -999
"1FGL J0210.6-5101" "PKS 0208-512" 32.69254 -51.01733 276.10184086 -61.77801532 0.016 0.041 1.0 BLL LSP 1.003 -999 7.1e-09 6e-10 2.37 0.04 34.0 Y N S Y H -999
"1FGL J1650.4-5042" "PMN J1650-5044" 252.56928 -50.74673 336.1395857 -3.9598687 0.047 0.062 1.0 Unknown -999 -999.0 -999 4.9e-09 7e-10 2.55 0.18 15.4 N N S N L -999
"1FGL J0013.7-5022" "BZB J0014-5022" 3.54675 -50.37575 317.44998871 -65.68944942 0.075 0.135 1.0 BLL HSP -999.0 -999 6e-10 2e-10 2.23 0.22 4.4 N N S Y H -999
"1FGL J2315.9-5014" "PKS 2312-505" 348.93458 -50.31108 334.67137699 -60.5072886 0.081 0.168 0.98 BLL -999 -999.0 -999 9e-10 3e-10 2.31 0.17 6.3 N N S Y H -999
